"source_settlement_raw","municipality","original_region","mapping_source","event_date"
"חוות שוביאל","חוות שוביאל","?? ?????","unmapped_fallback","2026-03-19"
"הר ברכה","הר ברכה","?? ?????","unmapped_fallback","2026-03-19"
"בית העלמין החדש נהריה","בית העלמין החדש נהריה","?? ?????","unmapped_fallback","2026-03-19"
"לב החולה","לב החולה","?? ?????","unmapped_fallback","2026-03-19"
"בית ספר שדה מירון","בית ספר שדה מירון","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי מרום גליל","מרכז אזורי מרום גליל","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי רמת כורזים","מרכז אזורי רמת כורזים","?? ?????","unmapped_fallback","2026-03-19"
"קדיתא","קדיתא","?? ?????","unmapped_fallback","2026-03-19"
"חמדת ימים","חמדת ימים","?? ?????","unmapped_fallback","2026-03-19"
"מנחת מחניים","מנחת מחניים","?? ?????","unmapped_fallback","2026-03-19"
"הר חלוץ","הר חלוץ","?? ?????","unmapped_fallback","2026-03-19"
"גבעת וולפסון","גבעת וולפסון","?? ?????","unmapped_fallback","2026-03-19"
"כעביה טבאש","כעביה טבאש","?? ?????","unmapped_fallback","2026-03-19"
"צורית גילון","צורית גילון","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר קישון","בית סוהר קישון","?? ?????","unmapped_fallback","2026-03-19"
"לוטם וחמדון","לוטם וחמדון","?? ?????","unmapped_fallback","2026-03-19"
"בית עלמין תל רגב","בית עלמין תל רגב","?? ?????","unmapped_fallback","2026-03-19"
"כפר ח'וואלד","כפר ח'וואלד","?? ?????","unmapped_fallback","2026-03-19"
"סואעד חמירה","סואעד חמירה","?? ?????","unmapped_fallback","2026-03-19"
"לב החולה","לב החולה","?? ?????","unmapped_fallback","2026-03-19"
"פוריה נווה עובד","פוריה נווה עובד","?? ?????","unmapped_fallback","2026-03-19"
"אזור תעשייה קדמת גליל","אזור תעשייה קדמת גליל","?? ?????","unmapped_fallback","2026-03-19"
